types,uri,prefLabel,notations,altLabels,definition,exactMatches,inScheme,topConceptOf,isSubjectOfs,collections,casNumbers,inchi,iupacName,pubchem,smiles,formula,vmmParameterIds,seeAlso,inchikey
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ACTOXUHEUCPTEW-JMRHEKERSA-N,spiramycine (I+II+III),spirmcne,spiramycine (i+ii+iii),,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,8025-81-8,"InChI=1S/C43H74N2O14/c1-24-21-29(19-20-46)39(59-42-37(49)36(45(9)10)38(27(4)56-42)58-35-23-43(6,51)41(50)28(5)55-35)40(52-11)31(47)22-33(48)53-25(2)15-13-12-14-16-32(24)57-34-18-17-30(44(7)8)26(3)54-34/h12-14,16,20,24-32,34-42,47,49-51H,15,17-19,21-23H2,1-11H3/b13-12+,16-14+/t24-,25-,26?,27?,28?,29+,30?,31-,32+,34?,35?,36?,37?,38?,39+,40+,41?,42?,43?/m1/s1","['2-[(4R,5S,6S,7R,9R,10R,16R)-6-[5-(4,5-dihydroxy-4,6-dimethyloxan-2-yl)oxy-4-dimethylamino-3-hydroxy-6-methyloxan-2-yl]oxy-10-(5-dimethylamino-6-methyloxan-2-yl)oxy-4-hydroxy-5-methoxy-9,16-dimethyl-2-oxo-1-oxacyclohexadeca-11,13-dien-7-yl]acetaldehyde', '2-[(4R,5S,6S,7R,9R,10R,11E,13E,16R)-6-[5-(4,5-dihydroxy-4,6-dimethyloxan-2-yl)oxy-4-dimethylamino-3-hydroxy-6-methyloxan-2-yl]oxy-10-(5-dimethylamino-6-methyloxan-2-yl)oxy-4-hydroxy-5-methoxy-9,16-dimethyl-2-oxo-1-oxacyclohexadeca-11,13-dien-7-yl]acetaldehyde']",6419898,CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)OC4CCC(C(O4)C)N(C)C,C43H74N2O14,,https://pubchem.ncbi.nlm.nih.gov/compound/6419898,InChIKey=ACTOXUHEUCPTEW-JMRHEKERSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ACTOXUHEUCPTEW-KWBWCIJSSA-N,spiramycine i,spirmcI,spiramycine I,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,24916-50-5|13441-34-4|2517-38-6|67262-35-5|1403-57-2|50762-61-3|13430-00-7|1405-25-0,"InChI=1S/C43H74N2O14/c1-24-21-29(19-20-46)39(59-42-37(49)36(45(9)10)38(27(4)56-42)58-35-23-43(6,51)41(50)28(5)55-35)40(52-11)31(47)22-33(48)53-25(2)15-13-12-14-16-32(24)57-34-18-17-30(44(7)8)26(3)54-34/h12-14,16,20,24-32,34-42,47,49-51H,15,17-19,21-23H2,1-11H3/b13-12+,16-14+/t24-,25-,26+,27-,28+,29+,30+,31-,32+,34+,35+,36-,37-,38-,39+,40+,41+,42+,43-/m1/s1","2-[(4R,5S,6S,7R,9R,10R,11E,13E,16R)-6-[(2S,3R,4R,5S,6R)-5-[(2S,4R,5S,6S)-4,5-dihydroxy-4,6-dimethyloxan-2-yl]oxy-4-dimethylamino-3-hydroxy-6-methyloxan-2-yl]oxy-10-[(2R,5S,6S)-5-dimethylamino-6-methyloxan-2-yl]oxy-4-hydroxy-5-methoxy-9,16-dimethyl-2-oxo-1-oxacyclohexadeca-11,13-dien-7-yl]acetaldehyde",6440717,CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)OC4CCC(C(O4)C)N(C)C,C43H74N2O14,,https://pubchem.ncbi.nlm.nih.gov/compound/6440717,InChIKey=ACTOXUHEUCPTEW-KWBWCIJSSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ACTRVOBWPAIOHC-UHFFFAOYSA-N,succimer,succmr,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,304-55-2|2418-14-6,"InChI=1S/C4H6O4S2/c5-3(6)1(9)2(10)4(7)8/h1-2,9-10H,(H,5,6)(H,7,8)","2,3-bis-sulfanylbutanedioic acid",9354,C(C(C(=O)O)S)(C(=O)O)S,C4H6O4S2,,https://pubchem.ncbi.nlm.nih.gov/compound/9354,InChIKey=ACTRVOBWPAIOHC-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ACWBQPMHZXGDFX-QFIPXVFZSA-N,valsartan,valstan,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,137862-53-4,"InChI=1S/C24H29N5O3/c1-4-5-10-21(30)29(22(16(2)3)24(31)32)15-17-11-13-18(14-12-17)19-8-6-7-9-20(19)23-25-27-28-26-23/h6-9,11-14,16,22H,4-5,10,15H2,1-3H3,(H,31,32)(H,25,26,27,28)/t22-/m0/s1",(2S)-3-methyl-2-[pentanoyl-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]amino]butanoic acid,60846,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,C24H29N5O3,,https://pubchem.ncbi.nlm.nih.gov/compound/60846,InChIKey=ACWBQPMHZXGDFX-QFIPXVFZSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ADAKRBAJFHTIEW-UHFFFAOYSA-N,p-chloorfenylisocyanaat,pClFyiCN,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,104-12-1,InChI=1S/C7H4ClNO/c8-6-1-3-7(4-2-6)9-5-10/h1-4H,1-Chloro-4-isocyanatobenzene,7693,C1=CC(=CC=C1N=C=O)Cl,C7H4ClNO,,https://pubchem.ncbi.nlm.nih.gov/compound/7693,InChIKey=ADAKRBAJFHTIEW-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ADFXKUOMJKEIND-UHFFFAOYSA-N,"1,3-dicyclohexylureum",13DccC6yurum,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,2387-23-7,"InChI=1S/C13H24N2O/c16-13(14-11-7-3-1-4-8-11)15-12-9-5-2-6-10-12/h11-12H,1-10H2,(H2,14,15,16)","1,3-Dicyclohexylurea",4277,C1CCC(CC1)NC(=O)NC2CCCCC2,C13H24N2O,,https://pubchem.ncbi.nlm.nih.gov/compound/4277,InChIKey=ADFXKUOMJKEIND-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ADIMAYPTOBDMTL-UHFFFAOYSA-N,oxazepam,oxzpm,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,61036-43-9|35295-88-6|604-75-1,"InChI=1S/C15H11ClN2O2/c16-10-6-7-12-11(8-10)13(9-4-2-1-3-5-9)18-15(20)14(19)17-12/h1-8,15,20H,(H,17,19)","7-chloro-3-hydroxy-5-phenyl-1,3-dihydro-1,4-benzodiazepin-2-one",4616,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,C15H11ClN2O2,,https://pubchem.ncbi.nlm.nih.gov/compound/4616,InChIKey=ADIMAYPTOBDMTL-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ADPGKKZKGXANON-UHFFFAOYSA-N,natriumsilicaat,NaSiO2,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,1344-09-8|10213-79-3|12001-15-9,InChI=1S/2Na.O3Si.5H2O/c;;1-4(2)3;;;;;/h;;;5*1H2/q2*+1;-2;;;;;,disodium dioxido-oxosilane pentahydrate,61495,O.O.O.O.O.[O-][Si](=O)[O-].[Na+].[Na+],H10Na2O8Si,,https://pubchem.ncbi.nlm.nih.gov/compound/61495,InChIKey=ADPGKKZKGXANON-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/AEHJMNVBLRLZKK-UHFFFAOYSA-N,pyridalyl,pyrdll,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,179101-81-6,"InChI=1S/C18H14Cl4F3NO3/c19-13-8-12(27-7-4-15(21)22)9-14(20)17(13)29-6-1-5-28-16-3-2-11(10-26-16)18(23,24)25/h2-4,8-10H,1,5-7H2","2-[3-[2,6-dichloro-4-(3,3-dichloroprop-2-enoxy)phenoxy]propoxy]-5-(trifluoromethyl)pyridine",11488729,C1=CC(=NC=C1C(F)(F)F)OCCCOC2=C(C=C(C=C2Cl)OCC=C(Cl)Cl)Cl,C18H14Cl4F3NO3,,https://pubchem.ncbi.nlm.nih.gov/compound/11488729,InChIKey=AEHJMNVBLRLZKK-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/AEMFNILZOJDQLW-QAGGRKNESA-N,androsteendion,andtdn,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,117598-81-9|63-05-8|104534-78-3,"InChI=1S/C19H26O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-16H,3-10H2,1-2H3/t14-,15-,16-,18-,19-/m0/s1","(8R,9S,10R,13S,14S)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-3,17-dione",6128,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C,C19H26O2,,https://pubchem.ncbi.nlm.nih.gov/compound/6128,InChIKey=AEMFNILZOJDQLW-QAGGRKNESA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/AERGGMDNGDDGPI-UHFFFAOYSA-N,"trans-1,2-difenylcyclobutaan",t12DFyccC4a,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,20071-09-4,"InChI=1S/C16H16/c1-3-7-13(8-4-1)15-11-12-16(15)14-9-5-2-6-10-14/h1-10,15-16H,11-12H2",(2-Phenylcyclobutyl)benzene,140640,C1CC(C1C2=CC=CC=C2)C3=CC=CC=C3,C16H16,,https://pubchem.ncbi.nlm.nih.gov/compound/140640,InChIKey=AERGGMDNGDDGPI-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/AEXMKKGTQYQZCS-UHFFFAOYSA-N,"3,3-dimethylpentaan",33DC1yC5a,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,562-49-2,"InChI=1S/C7H16/c1-5-7(3,4)6-2/h5-6H2,1-4H3","3,3-Dimethylpentane",11229,CCC(C)(C)CC,C7H16,,https://pubchem.ncbi.nlm.nih.gov/compound/11229,InChIKey=AEXMKKGTQYQZCS-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/AFABGHUZZDYHJO-UHFFFAOYSA-N,2-methylpentaan,2C1yC5a,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,107-83-5|73513-42-5,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3",2-Methylpentane,7892,CCCC(C)C,C6H14,,https://pubchem.ncbi.nlm.nih.gov/compound/7892,InChIKey=AFABGHUZZDYHJO-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/AFBPFSWMIHJQDM-UHFFFAOYSA-N,methylaniline,C1yAn,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,100-61-8,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3",N-Methylaniline,7515,CNC1=CC=CC=C1,C7H9N,,https://pubchem.ncbi.nlm.nih.gov/compound/7515,InChIKey=AFBPFSWMIHJQDM-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/AFCAKJKUYFLYFK-UHFFFAOYSA-N,tetrabutyltin,T4C4ySn,tetrabutyltin (tebt),,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_1461-25-2,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,https://data.omgeving.vlaanderen.be/id/collection/chemische_stof/water,1461-25-2,"InChI=1S/4C4H9.Sn/c4*1-3-4-2;/h4*1,3-4H2,2H3;",Tetrabutylstannane,15098,CCCC[Sn](CCCC)(CCCC)CCCC,C16H36Sn,410,https://pubchem.ncbi.nlm.nih.gov/compound/15098,InChIKey=AFCAKJKUYFLYFK-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/AFCCDDWKHLHPDF-UHFFFAOYSA-M,metham-natrium,metNa,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,6734-80-1|137-42-8|144-54-7,"InChI=1S/C2H5NS2.Na/c1-3-2(4)5;/h1H3,(H2,3,4,5);/q;+1/p-1",sodium methylaminomethanedithioate,8727,CN=C(S)[S-].[Na+],C2H4NNaS2,,https://pubchem.ncbi.nlm.nih.gov/compound/8727,InChIKey=AFCCDDWKHLHPDF-UHFFFAOYSA-M
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/AFFLGGQVNFXPEV-UHFFFAOYSA-N,1-deceen,1C10e,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,"LUC/IV/005, LUC/IV/011, LUC/IV/000VLAR II bijl. 4.4.2 'Olefinische koolwaterstoffen (behalve 1,3-butadieen)'",https://data.omgeving.vlaanderen.be/id/collection/chemische_stof/lucht,108778-38-7|105054-87-3|25189-70-2|872-05-9|68037-01-4,"InChI=1S/C10H20/c1-3-5-7-9-10-8-6-4-2/h3H,1,4-10H2,2H3",Dec-1-ene,13381,CCCCCCCCC=C,C10H20,,https://pubchem.ncbi.nlm.nih.gov/compound/13381,InChIKey=AFFLGGQVNFXPEV-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/AFIIBUOYKYSPKB-UHFFFAOYSA-N,aziprotryn,azptn,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,4658-28-0,"InChI=1S/C7H11N7S/c1-4(2)9-5-10-6(13-14-8)12-7(11-5)15-3/h4H,1-3H3,(H,9,10,11,12)","4-azido-6-methylsulfanyl-N-propan-2-yl-1,3,5-triazin-2-amine",3032472,CC(C)NC1=NC(=NC(=N1)SC)N=[N+]=[N-],C7H11N7S,,https://pubchem.ncbi.nlm.nih.gov/compound/3032472,InChIKey=AFIIBUOYKYSPKB-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/AFOVBPMGZPJPKX-UHFFFAOYSA-N,methylnaftylaceetamide,C1yntacAd,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,85-07-4,"InChI=1S/C13H13NO/c1-9-6-7-10-4-2-3-5-11(10)12(9)8-13(14)15/h2-7H,8H2,1H3,(H2,14,15)",2-(2-methylnaphthalen-1-yl)acetamide,66550,CC1=C(C2=CC=CC=C2C=C1)CC(=O)N,C13H13NO,,https://pubchem.ncbi.nlm.nih.gov/compound/66550,InChIKey=AFOVBPMGZPJPKX-UHFFFAOYSA-N
